address,incident_edges,betweenness_centrality
0x1c39ba39e4735cb65978d4db400ddd70a72dc750,5855,2.19466e+08
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,22867,1.88679e+08
0xd34da389374caad1a048fbdc4569aae33fd5a375,14073,1.66341e+08
0x7ed1e469fcb3ee19c0366d829e291451be638e59,2414,1.04761e+08
0xea674fdde714fd979de3edf0f56aa9716b898ec8,26744,9.63486e+07
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,1639,8.41415e+07
0x2a65aca4d5fc5b5c859090a6c34d164135398226,21856,7.73778e+07
0x61c808d82a3ac53231750dadc13c777b59310bd9,8553,5.9762e+07
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,12287,5.82386e+07
0x517c265f45eac01389dbb3045206c1d07c7a178c,1823,5.55805e+07
0xfbe26da0e985087d28228defbdaa394713b0865f,507,5.37358e+07
0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1610,5.24716e+07
0xfa52274dd61e1643d2205169732f29114bc240b3,4309,5.11518e+07
0x9a2c74993b3531044834ae0bd69246dca461fcc4,549,4.40168e+07
0x8b2232c5006a7c9bcb7b52d07ad429bb71ae2c1c,928,4.13351e+07
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,4382,3.70043e+07
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,618,3.38451e+07
0x999d1ce359692aebc26cd969a31d47d150128600,495,3.18062e+07
0x27bebc44c6f60f99d558422288d616ee15dcb36d,5034,2.91689e+07
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,2533,2.8071e+07
0x9c67e141c0472115aa1b98bd0088418be68fd249,954,2.73613e+07
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,874,2.49828e+07
0xcbba2a803bbd944a2efdc72a53ab99780495cfc1,110,2.4545e+07
0xb2930b35844a230f00e51431acae96fe543a0347,2524,2.40209e+07
0x1e9939daaad6924ad004c2560e90804164900341,10028,2.3493e+07
0x02459d2ea9a008342d8685dae79d213f14a87d43,361,2.1099e+07
0x32be343b94f860124dc4fee278fdcbd38c102d88,2472,1.84106e+07
0xa8f769b88d6d74fb2bd3912f6793f75625228baf,1384,1.78858e+07
0xf89795dbfcef7f6285b660d8c847c56c75a39d2e,12,1.77203e+07
0xa1500fafa6952e6f802c02ac32ba301529b05289,35,1.70134e+07
0xd53c3ee719ce711d40c0f4bace8200b82d530318,1853,1.66836e+07
0x00a63d34051602b2cb268ea344d4b8bc4767f2d4,197,1.66727e+07
0x1be045433b82a890351573023350a913c5e55bac,12,1.64323e+07
0x81ff52c7cb21cdcffeb4a15f2c48a902b82dbdd5,9,1.56703e+07
0x304cc179719bc5b05418d6f7f6783abe45d83090,183,1.3993e+07
0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,3957,1.25917e+07
0xeed69a85b67914718d8d7b09e5bce7b6496d1b3b,8,1.2567e+07
0x37a9679c41e99db270bda88de8ff50c0cd23f326,22188,1.17642e+07
0x6704fd75f9562b50211b8aa498ab8a3c24c883a3,192,1.17596e+07
0x53a7105a518a32892260fdecf33e55c7458a68c5,20,1.06137e+07
0x26e41d7691c8212bb07c0eeaf18f16888c5c3c3e,4,9.851e+06
0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,235,9.30722e+06
0x68189989ee34d25c9f5d5847a60ba2b82854fe7e,68,9.10227e+06
0x52032173adc1df3b9faa60aec6e577f3cab4545d,23,8.98568e+06
0xbf9bbe94bbf43f3114057a75e796575d2a07d63a,25,8.92184e+06
0xfed58039ef38afbeb503c6cfe178d8a3614bed6a,2,8.87254e+06
0x54e24bf771904852133f066974ff31ba460cb5f4,2,8.6561e+06
0xb08241488b1b3a4eafdb125c218cec7d086cfaa7,148,8.64505e+06
0x9ae63ee2e8ed29f4a4edb982f918a33c2caf3f98,96,8.37694e+06
0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,150,8.33217e+06
,634,7.99983e+06
0xf90c9ac616ecfefb3860aaa5bc33caf9bc606441,1310,7.80636e+06
0x593c97a298bacbdfcf1a820772bdb2fd564a7a1b,84,7.73947e+06
0xde088812a9c5005b0dc8447b37193c9e8b67a1ff,130,7.72381e+06
0x888666ca69e0f178ded6d75b5726cee99a87d698,178,7.69303e+06
0x40ce7569d555dbf939e58867be78fd76142df821,250,7.46435e+06
0x8f00dfa45e284fe39223a78518475484063c6494,13,7.19937e+06
0xa00254bd813f452d6187757f038deb7abc255eda,6,7.16321e+06
0x7727e5113d1d161373623e5f49fd568b4f543a9e,706,6.91471e+06
0xd3121b9e9e2e19310299d65980354c8ba6b976d2,21,6.83904e+06
0xb582baaf5e749d6aa98a22355a9d08b4c4d013c8,192,6.79477e+06
0x24f21c22f0e641e2371f04a7bb8d713f89f53550,271,6.60054e+06
0x4ab70a1a36610229eaf144232985115c22eef669,75,6.58379e+06
0x4db13ad0a29e920e8448208a8463e1820a7d41b0,33,6.50166e+06
0xb482b1b85efc641f92f41caa7e9b70c54d89dbd5,142,6.22563e+06
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,203,6.16157e+06
0xb36cbe7f95a39984384e6aa4068b02c1697ef80e,1149,5.92881e+06
0x2ed1d7e955d0e1ff4be8392805371cf4ccde847c,3,5.85796e+06
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,733,5.85184e+06
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,2996,5.80273e+06
0x93ae6bfb0d3fa910ddfa5ef9df66dd4ba3619b5c,2,5.79354e+06
0x7cb57b5a97eabe94205c07890be4c1ad31e486a8,17,5.61507e+06
0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,5493,5.48262e+06
0xb3e527904a6be8787482967bdf20998c3c7fa867,2,5.47744e+06
0x56234c9fb36bc55f799d24ed3c0fedd96cd3cc5c,2,5.47744e+06
0x77a9a2cc6be9a08764b1b13258e3a00cf5ab7831,2,5.47744e+06
0xf8ea7d4e3011c1c7323292cb398aa6780215bf77,14,5.3408e+06
0xff723447d3a4da1bc4bfd6ee7ee112dc6bf1dd08,17,5.25244e+06
0xf595b8b2c2a42f3bc3cd5c42f58b547a7821d90f,194,5.2135e+06
0xd8c9ff06470238daffe937861977ffc5de1f232c,6,4.89313e+06
0xb2723551efd097087f3c4e1fe5f3a109382dda43,3,4.72871e+06
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,617,4.68508e+06
0x834ddefee89fe97ca008f7be176bec4fa77500f0,34,4.6129e+06
0x90145f9cb8211fa168d1ae3cf3b00aa9e3e3586f,2,4.60967e+06
0xd6796023db8d61d1bc695869fcbeaea742042051,104,4.51708e+06
0x4dcfb61768c617456a89636f3cebfd062ac5f498,4,4.51468e+06
0xff8c0630fcfe5f5539e046e70cf87361638d8448,95,4.50992e+06
0xdfad8c8a6172d33b95038ec5bb067239b71f70d0,576,4.50312e+06
0x67e829d4f216b7a7b84b5ab4a78e0dbe0b15cb59,30,4.39307e+06
0x00629faca0db5067cc2cff5745764745caff4638,11,4.38721e+06
0x84a8155c8d71b35aad86187c1bf5ae5c3dc5aaa8,4,4.37372e+06
0xa7deff12461661212734db35ade9ae7d987d648c,8,4.35094e+06
0xf4fe90e63f2a90710bcc0c00f38812c4a882f2ff,263,4.32279e+06
0x3f06cd9646aa0981e7ed36a554b784fe1115d252,2,4.29491e+06
0xf6a05ca0820f28bb9f05f064607d3233b57bae85,3,4.1771e+06
0xf6deda468ba0aff0948bf96e17386df5ca642ae9,6,4.14118e+06
0x9bb5f7c3341baf362855c519ed2f5d66dbec95f4,110,3.96595e+06
0x1d8b2e762f0cf1ef75df3c6cc52db80e5e48351f,132,3.93137e+06
0x7d6a8dbc55bf64a9bc539ace7f7edcbe22b22b5d,10,3.87097e+06
0x6c339bb3c904d0f663bdef66e08a0d8ffaa7466d,5,3.80125e+06
0xd2621e79876e12f27c14b20d09a8f9a9ff04f61c,66,3.75052e+06
0x19ae27e1b61445eb9f27821a5eb4b3e957319e7e,85,3.74791e+06
0x423800d1d0a3edf2f78541abe72869f03b42561a,2,3.7391e+06
