address,incident_edges,betweenness_centrality
0x54ca0c158a32d47a4984303afc9b06e341d337df,2,1.27047e+06
0x888666ca69e0f178ded6d75b5726cee99a87d698,55,1.26447e+06
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,64,1.25842e+06
0x9bb5f7c3341baf362855c519ed2f5d66dbec95f4,46,1.25632e+06
0x81f631b8615eab75d38dac4d4bce4a5b63e10310,132,1.23979e+06
0x69ed7a226969435776cee6f0557a04c03e428665,4,1.23805e+06
0x68a683f842464d1ad4b70764757cc36b22d79dc0,4,1.2095e+06
0xe906153346359b9443665c3dc10821ba98b8185e,4,1.20752e+06
0x0e2c2e904f1f08ea64e3bb9180bd2a188c957cac,7,1.18801e+06
0x92dc015f8f50a4387c5a166dda05790daa431815,2,1.18513e+06
0xdda9499d996c920ea11c8186f88b473440759c73,4,1.18392e+06
0xd8b35a17f78b2d8a538b2edbd1a9af345b63a797,20,1.16544e+06
0x958ab5d45828cd3bbbb85066408b5d9d5b87c14b,17,1.15218e+06
0x3a1ff5c6983f884ca007209c2808551b9f0e7d68,22,1.12166e+06
0xb36cbe7f95a39984384e6aa4068b02c1697ef80e,357,1.12081e+06
0x6bec3b69cfa4433a519d29ebdfbbaf333bcee007,16,1.0968e+06
0xb1d9f20c1d4a67fcc391e95fd0db97b21252e01e,9,1.08864e+06
0x96338149e9f6c262d4cb7aeec1cf4c652079a11c,200,1.05365e+06
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,178,1.05028e+06
0xe79d27f4c9a5418ea249a22ac80eeaac24c1426b,2,1.04989e+06
0xa3da5f43d44fba02b0a797b64864ee9a8d898ec2,4,1.0382e+06
0x780fbf3b1895221f5979e0c8edb6b820348c4de0,74,1.03181e+06
0x05fbae69e8f7e2779ce7bd43e7eee0d27499e773,2,1.0073e+06
0xb482b1b85efc641f92f41caa7e9b70c54d89dbd5,44,1.00394e+06
0x8cfd5741577d1f5b0574e78f0ae15b64e2101b2d,10,932800
0x9554efa1669014c25070bc23c2df262825704228,89,906045
0x6d3714d6571be317887d8c7d6e7187930d354975,80,902414
0x9ae63ee2e8ed29f4a4edb982f918a33c2caf3f98,23,899300
0xbac92e7cd384e37af037d0129c27432650f1f6d2,12,892559
0x78223a4bfa5ba875d4b9ec573f8436a25943e9b3,8,892119
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,277,889478
0x834ddefee89fe97ca008f7be176bec4fa77500f0,14,870395
0xb2d955733e6a470533f68f72d0af442070f24f55,203,869161
0x24f21c22f0e641e2371f04a7bb8d713f89f53550,61,868161
0x74d1766f9953591e5d8895dd378118c58a0af583,44,861383
0x9d8baf79bbbc4c77cd1068924f9705eacf6329e5,14,844123
0xaf871437bb04b3b2e23f89ae6bdbeebfc62bbd66,2,842877
0x699acb253219abc1b4e5d92fd93bcf30889ea4ee,21,838457
0x7de7f0c3fa7e800b7350c9421ceda457dc4d0180,6,834067
0x99eea495a82e66c97304a6b07fa8cb29eeb781a5,6,834067
0xb51ba8f674e3c6aead9250b660d7e249bdfdfdb0,4,831260
0xc4faf9917304beb2f60882a663753399a25570df,2,825334
0x52541ba163c1ba855897b8f82b9bad8188d10bd9,8,820147
0x85ef46b7362206d2f33df663112de55fc936e583,10,797308
0x0de7a351e3a7caac1e9c826e4e81c9e3983d95cd,44,787066
0xb1e61172cb5c5e45848f836eebc0fb1776707140,23,782670
0xe7bac53d5571041f95ac8e23f98d27e725d61d94,2,779933
0x1ac2b0c21aaf37e8ff60588887efa75636f7df3e,2,779933
0xa2012c9187350526114c06acac4bc6da1b5fc86e,2,779933
0x06d9d994e3c3c42163f5fc20f6209185f732b14b,25,779167
0x2ec7dc6c01933a0af8616329f8f0e4ad38983454,10,777360
0xd67672341c291b9f811eaac9636a0c23e99d7789,22,770497
